,year,type,engine,number
0,2006,Cars,Petrol,471707
1,2006,Cars,Diesel,7
2,2006,Cars,Petrol-Electric,379
3,2006,Cars,Petrol-Electric (Plug-In),0
4,2006,Cars,Petrol-CNG,214
5,2006,Cars,CNG,0
6,2006,Cars,Electric,1
7,2006,Cars,Diesel-Electric,0
8,2006,Taxis,Petrol,1
9,2006,Taxis,Diesel,23229
10,2006,Taxis,Petrol-Electric,0
11,2006,Taxis,Petrol-CNG,104
12,2006,Taxis,CNG,0
13,2006,Taxis,Electric,0
14,2006,Motorcycles,Petrol,141880
15,2006,Motorcycles,Electric,1
16,2006,Goods and Other Vehicles,Petrol,11703
17,2006,Goods and Other Vehicles,Diesel,121135
18,2006,Goods and Other Vehicles,Petrol-Electric,0
19,2006,Goods and Other Vehicles,Petrol-CNG,3
20,2006,Goods and Other Vehicles,CNG,0
21,2006,Goods and Other Vehicles,Electric,0
22,2006,Goods and Other Vehicles,Diesel-Electric,0
23,2006,Buses,Petrol,439
24,2006,Buses,Diesel,13380
25,2006,Buses,Petrol-Electric,0
26,2006,Buses,Petrol-CNG,0
27,2006,Buses,CNG,12
28,2006,Buses,Electric,0
29,2006,Buses,Diesel-Electric,0
30,2007,Cars,Petrol,513375
31,2007,Cars,Diesel,4
32,2007,Cars,Petrol-Electric,1057
33,2007,Cars,Petrol-Electric (Plug-In),0
34,2007,Cars,Petrol-CNG,248
35,2007,Cars,CNG,0
36,2007,Cars,Electric,1
37,2007,Cars,Diesel-Electric,0
38,2007,Taxis,Petrol,1
39,2007,Taxis,Diesel,24224
40,2007,Taxis,Petrol-Electric,0
41,2007,Taxis,Petrol-CNG,220
42,2007,Taxis,CNG,1
43,2007,Taxis,Electric,0
44,2007,Motorcycles,Petrol,143482
45,2007,Motorcycles,Electric,0
46,2007,Goods and Other Vehicles,Petrol,11569
47,2007,Goods and Other Vehicles,Diesel,127031
48,2007,Goods and Other Vehicles,Petrol-Electric,0
49,2007,Goods and Other Vehicles,Petrol-CNG,1
50,2007,Goods and Other Vehicles,CNG,3
51,2007,Goods and Other Vehicles,Electric,0
52,2007,Goods and Other Vehicles,Diesel-Electric,0
53,2007,Buses,Petrol,392
54,2007,Buses,Diesel,13788
55,2007,Buses,Petrol-Electric,0
56,2007,Buses,Petrol-CNG,0
57,2007,Buses,CNG,12
58,2007,Buses,Electric,0
59,2007,Buses,Diesel-Electric,0
60,2008,Cars,Petrol,545994
61,2008,Cars,Diesel,17
62,2008,Cars,Petrol-Electric,1999
63,2008,Cars,Petrol-Electric (Plug-In),0
64,2008,Cars,Petrol-CNG,2440
65,2008,Cars,CNG,4
66,2008,Cars,Electric,1
67,2008,Cars,Diesel-Electric,0
68,2008,Taxis,Petrol,11
69,2008,Taxis,Diesel,23311
70,2008,Taxis,Petrol-Electric,0
71,2008,Taxis,Petrol-CNG,977
72,2008,Taxis,CNG,1
73,2008,Taxis,Electric,0
74,2008,Motorcycles,Petrol,145288
75,2008,Motorcycles,Electric,0
76,2008,Goods and Other Vehicles,Petrol,11002
77,2008,Goods and Other Vehicles,Diesel,131955
78,2008,Goods and Other Vehicles,Petrol-Electric,0
79,2008,Goods and Other Vehicles,Petrol-CNG,6
80,2008,Goods and Other Vehicles,CNG,3
81,2008,Goods and Other Vehicles,Electric,0
82,2008,Goods and Other Vehicles,Diesel-Electric,0
83,2008,Buses,Petrol,333
84,2008,Buses,Diesel,14631
85,2008,Buses,Petrol-Electric,0
86,2008,Buses,Petrol-CNG,0
87,2008,Buses,CNG,12
88,2008,Buses,Electric,0
89,2008,Buses,Diesel-Electric,0
90,2009,Cars,Petrol,571629
91,2009,Cars,Diesel,43
92,2009,Cars,Petrol-Electric,2637
93,2009,Cars,Petrol-Electric (Plug-In),0
94,2009,Cars,Petrol-CNG,2678
95,2009,Cars,CNG,0
96,2009,Cars,Electric,1
97,2009,Cars,Diesel-Electric,0
98,2009,Taxis,Petrol,150
99,2009,Taxis,Diesel,22693
100,2009,Taxis,Petrol-Electric,4
101,2009,Taxis,Petrol-CNG,1855
102,2009,Taxis,CNG,0
103,2009,Taxis,Electric,0
104,2009,Motorcycles,Petrol,146333
105,2009,Motorcycles,Electric,4
106,2009,Goods and Other Vehicles,Petrol,10627
107,2009,Goods and Other Vehicles,Diesel,134160
108,2009,Goods and Other Vehicles,Petrol-Electric,0
109,2009,Goods and Other Vehicles,Petrol-CNG,9
110,2009,Goods and Other Vehicles,CNG,6
111,2009,Goods and Other Vehicles,Electric,0
112,2009,Goods and Other Vehicles,Diesel-Electric,0
113,2009,Buses,Petrol,285
114,2009,Buses,Diesel,15344
115,2009,Buses,Petrol-Electric,0
116,2009,Buses,Petrol-CNG,4
117,2009,Buses,CNG,26
118,2009,Buses,Electric,0
119,2009,Buses,Diesel-Electric,0
120,2010,Cars,Petrol,589034
121,2010,Cars,Diesel,138
122,2010,Cars,Petrol-Electric,3305
123,2010,Cars,Petrol-Electric (Plug-In),0
124,2010,Cars,Petrol-CNG,2706
125,2010,Cars,CNG,0
126,2010,Cars,Electric,2
127,2010,Cars,Diesel-Electric,0
128,2010,Taxis,Petrol,230
129,2010,Taxis,Diesel,23214
130,2010,Taxis,Petrol-Electric,30
131,2010,Taxis,Petrol-CNG,2599
132,2010,Taxis,CNG,0
133,2010,Taxis,Electric,0
134,2010,Motorcycles,Petrol,147275
135,2010,Motorcycles,Electric,7
136,2010,Goods and Other Vehicles,Petrol,9627
137,2010,Goods and Other Vehicles,Diesel,133968
138,2010,Goods and Other Vehicles,Petrol-Electric,0
139,2010,Goods and Other Vehicles,Petrol-CNG,11
140,2010,Goods and Other Vehicles,CNG,6
141,2010,Goods and Other Vehicles,Electric,1
142,2010,Goods and Other Vehicles,Diesel-Electric,0
143,2010,Buses,Petrol,233
144,2010,Buses,Diesel,15657
145,2010,Buses,Petrol-Electric,0
146,2010,Buses,Petrol-CNG,7
147,2010,Buses,CNG,37
148,2010,Buses,Electric,0
149,2010,Buses,Diesel-Electric,2
150,2011,Cars,Petrol,596947
151,2011,Cars,Diesel,346
152,2011,Cars,Petrol-Electric,3786
153,2011,Cars,Petrol-Electric (Plug-In),0
154,2011,Cars,Petrol-CNG,2642
155,2011,Cars,CNG,0
156,2011,Cars,Electric,2
157,2011,Cars,Diesel-Electric,0
158,2011,Taxis,Petrol,279
159,2011,Taxis,Diesel,23880
160,2011,Taxis,Petrol-Electric,56
161,2011,Taxis,Petrol-CNG,2836
162,2011,Taxis,CNG,0
163,2011,Taxis,Electric,0
164,2011,Motorcycles,Petrol,145672
165,2011,Motorcycles,Electric,8
166,2011,Goods and Other Vehicles,Petrol,9058
167,2011,Goods and Other Vehicles,Diesel,136076
168,2011,Goods and Other Vehicles,Petrol-Electric,1
169,2011,Goods and Other Vehicles,Petrol-CNG,14
170,2011,Goods and Other Vehicles,CNG,8
171,2011,Goods and Other Vehicles,Electric,1
172,2011,Goods and Other Vehicles,Diesel-Electric,0
173,2011,Buses,Petrol,194
174,2011,Buses,Diesel,16433
175,2011,Buses,Petrol-Electric,0
176,2011,Buses,Petrol-CNG,8
177,2011,Buses,CNG,14
178,2011,Buses,Electric,0
179,2011,Buses,Diesel-Electric,3
180,2012,Cars,Petrol,609792
181,2012,Cars,Diesel,681
182,2012,Cars,Petrol-Electric,4684
183,2012,Cars,Petrol-Electric (Plug-In),0
184,2012,Cars,Petrol-CNG,2410
185,2012,Cars,CNG,0
186,2012,Cars,Electric,3
187,2012,Cars,Diesel-Electric,0
188,2012,Taxis,Petrol,460
189,2012,Taxis,Diesel,25017
190,2012,Taxis,Petrol-Electric,125
191,2012,Taxis,Petrol-CNG,2608
192,2012,Taxis,CNG,0
193,2012,Taxis,Electric,0
194,2012,Motorcycles,Petrol,143278
195,2012,Motorcycles,Electric,8
196,2012,Goods and Other Vehicles,Petrol,8721
197,2012,Goods and Other Vehicles,Diesel,136303
198,2012,Goods and Other Vehicles,Petrol-Electric,1
199,2012,Goods and Other Vehicles,Petrol-CNG,11
200,2012,Goods and Other Vehicles,CNG,7
201,2012,Goods and Other Vehicles,Electric,1
202,2012,Goods and Other Vehicles,Diesel-Electric,2
203,2012,Buses,Petrol,167
204,2012,Buses,Diesel,16576
205,2012,Buses,Petrol-Electric,0
206,2012,Buses,Petrol-CNG,8
207,2012,Buses,CNG,14
208,2012,Buses,Electric,0
209,2012,Buses,Diesel-Electric,3
210,2013,Cars,Petrol,612654
211,2013,Cars,Diesel,1412
212,2013,Cars,Petrol-Electric,5020
213,2013,Cars,Petrol-Electric (Plug-In),0
214,2013,Cars,Petrol-CNG,2253
215,2013,Cars,CNG,0
216,2013,Cars,Electric,0
217,2013,Cars,Diesel-Electric,6
218,2013,Taxis,Petrol,590
219,2013,Taxis,Diesel,24144
220,2013,Taxis,Petrol-Electric,662
221,2013,Taxis,Petrol-CNG,2299
222,2013,Taxis,CNG,0
223,2013,Taxis,Electric,0
224,2013,Motorcycles,Petrol,144301
225,2013,Motorcycles,Electric,6
226,2013,Goods and Other Vehicles,Petrol,8161
227,2013,Goods and Other Vehicles,Diesel,136021
228,2013,Goods and Other Vehicles,Petrol-Electric,1
229,2013,Goods and Other Vehicles,Petrol-CNG,10
230,2013,Goods and Other Vehicles,CNG,5
231,2013,Goods and Other Vehicles,Electric,1
232,2013,Goods and Other Vehicles,Diesel-Electric,3
233,2013,Buses,Petrol,143
234,2013,Buses,Diesel,16899
235,2013,Buses,Petrol-Electric,0
236,2013,Buses,Petrol-CNG,6
237,2013,Buses,CNG,14
238,2013,Buses,Electric,0
239,2013,Buses,Diesel-Electric,3
240,2014,Cars,Petrol,605511
241,2014,Cars,Diesel,3206
242,2014,Cars,Petrol-Electric,5727
243,2014,Cars,Petrol-Electric (Plug-In),47
244,2014,Cars,Petrol-CNG,2100
245,2014,Cars,CNG,0
246,2014,Cars,Electric,1
247,2014,Cars,Diesel-Electric,17
248,2014,Taxis,Petrol,543
249,2014,Taxis,Diesel,24493
250,2014,Taxis,Petrol-Electric,1608
251,2014,Taxis,Petrol-CNG,2092
252,2014,Taxis,CNG,0
253,2014,Taxis,Electric,0
254,2014,Motorcycles,Petrol,144400
255,2014,Motorcycles,Electric,4
256,2014,Goods and Other Vehicles,Petrol,7625
257,2014,Goods and Other Vehicles,Diesel,136862
258,2014,Goods and Other Vehicles,Petrol-Electric,1
259,2014,Goods and Other Vehicles,Petrol-CNG,10
260,2014,Goods and Other Vehicles,CNG,4
261,2014,Goods and Other Vehicles,Electric,1
262,2014,Goods and Other Vehicles,Diesel-Electric,4
263,2014,Buses,Petrol,118
264,2014,Buses,Diesel,16972
265,2014,Buses,Petrol-Electric,0
266,2014,Buses,Petrol-CNG,4
267,2014,Buses,CNG,12
268,2014,Buses,Electric,0
269,2014,Buses,Diesel-Electric,3
270,2015,Cars,Petrol,587900
271,2015,Cars,Diesel,5976
272,2015,Cars,Petrol-Electric,6371
