,year,accident_classification,road_user_group,causes_of_accident,number_of_accidents
0,2012,FATAL,"Drivers, Riders or Cyclists",Failing to Keep a Proper Lookout,59
1,2012,FATAL,"Drivers, Riders or Cyclists",Failing to Have Proper Control,50
2,2012,FATAL,"Drivers, Riders or Cyclists",Failing to Give Way to Traffic with Right of Way,9
3,2012,FATAL,"Drivers, Riders or Cyclists",Changing Lane without Due Care,6
4,2012,FATAL,"Drivers, Riders or Cyclists",Disobeying Traffic Light Signals Resulting in Accidents with Vehicle,9
5,2012,FATAL,"Drivers, Riders or Cyclists",Turning Without Due Care,2
6,2012,FATAL,"Drivers, Riders or Cyclists",Driving under the Influence of Alcohol,3
7,2012,FATAL,"Drivers, Riders or Cyclists",Overtaking without Due Care,1
8,2012,FATAL,"Drivers, Riders or Cyclists",Following Too Close to Vehicle In Front,1
9,2012,FATAL,"Drivers, Riders or Cyclists",Turning Vehicle & Failing to Give Way to Pedestrian During Green Man,4
10,2012,FATAL,"Drivers, Riders or Cyclists","Other causes attributed to drivers, riders or pedal cyclists",31
11,2012,INJURY,"Drivers, Riders or Cyclists",Failing to Keep a Proper Lookout,2710
12,2012,INJURY,"Drivers, Riders or Cyclists",Failing to Have Proper Control,1237
13,2012,INJURY,"Drivers, Riders or Cyclists",Failing to Give Way to Traffic with Right of Way,862
14,2012,INJURY,"Drivers, Riders or Cyclists",Changing Lane without Due Care,498
15,2012,INJURY,"Drivers, Riders or Cyclists",Disobeying Traffic Light Signals Resulting in Accidents with Vehicle,237
16,2012,INJURY,"Drivers, Riders or Cyclists",Turning Without Due Care,185
17,2012,INJURY,"Drivers, Riders or Cyclists",Driving under the Influence of Alcohol,115
18,2012,INJURY,"Drivers, Riders or Cyclists",Overtaking without Due Care,79
19,2012,INJURY,"Drivers, Riders or Cyclists",Following Too Close to Vehicle In Front,49
20,2012,INJURY,"Drivers, Riders or Cyclists",Turning Vehicle & Failing to Give Way to Pedestrian During Green Man,36
21,2012,INJURY,"Drivers, Riders or Cyclists","Other causes attributed to drivers, riders or pedal cyclists",808
22,2012,FATAL,Pedestrians,Crossing Heedless of Traffic,10
23,2012,FATAL,Pedestrians,Failing to Use Available Pedestrian Crossing,2
24,2012,FATAL,Pedestrians,Crossing Within Pedestrian Crossing When Red Man Lighted,6
25,2012,FATAL,Pedestrians,Crossing In Front or Behind a Vehicle which Obstructs View,2
26,2012,FATAL,Pedestrians,Playing on The Road or Carpark,2
27,2012,FATAL,Pedestrians,Carrying Out Work on the Road without Proper Attire or Sufficient Warning Signs,0
28,2012,FATAL,Pedestrians,Under the Influence of Alcohol,1
