,Entity,Code,Year,Cumulative CO2 emissions,Annual CO2 emissions
18931,Singapore,SGP,1950,1913932.0,
18932,Singapore,SGP,1951,4739709.0,
18933,Singapore,SGP,1952,8181015.0,
18934,Singapore,SGP,1953,11662728.0,
18935,Singapore,SGP,1954,15434023.0,
18936,Singapore,SGP,1955,19486818.0,
18937,Singapore,SGP,1956,23582713.0,
18938,Singapore,SGP,1957,25312121.0,
18939,Singapore,SGP,1958,27609449.0,
18940,Singapore,SGP,1959,29408473.0,
18941,Singapore,SGP,1960,30800793.0,
18942,Singapore,SGP,1961,32892937.0,
18943,Singapore,SGP,1962,35406352.0,
18944,Singapore,SGP,1963,38707719.0,
18945,Singapore,SGP,1964,42309431.0,
18946,Singapore,SGP,1965,44734999.0,
18947,Singapore,SGP,1966,45213922.0,
18948,Singapore,SGP,1967,48035202.0,
18949,Singapore,SGP,1968,53168657.0,
18950,Singapore,SGP,1969,60056977.0,
18951,Singapore,SGP,1970,77889665.0,
18952,Singapore,SGP,1971,94165086.0,
18953,Singapore,SGP,1972,115885278.0,
18954,Singapore,SGP,1973,136575886.0,
18955,Singapore,SGP,1974,158002958.0,
18956,Singapore,SGP,1975,181866590.0,
18957,Singapore,SGP,1976,211204238.0,
18958,Singapore,SGP,1977,238816142.0,
18959,Singapore,SGP,1978,271279182.0,
18960,Singapore,SGP,1979,306699002.0,
18961,Singapore,SGP,1980,337132186.0,
18962,Singapore,SGP,1981,362838810.0,
18963,Singapore,SGP,1982,391220320.0,
18964,Singapore,SGP,1983,424617680.0,
18965,Singapore,SGP,1984,456586234.0,
18966,Singapore,SGP,1985,488983322.0,
18967,Singapore,SGP,1986,523084170.0,
18968,Singapore,SGP,1987,554895018.0,
18969,Singapore,SGP,1988,590175674.0,
18970,Singapore,SGP,1989,631179498.0,
18971,Singapore,SGP,1990,674715073.0,
18972,Singapore,SGP,1991,718950545.0,
18973,Singapore,SGP,1992,766392017.0,
18974,Singapore,SGP,1993,816053873.0,
18975,Singapore,SGP,1994,876139809.0,
18976,Singapore,SGP,1995,916685633.0,
18977,Singapore,SGP,1996,964698574.0,
18978,Singapore,SGP,1997,1021435614.0,
18979,Singapore,SGP,1998,1068847774.0,
18980,Singapore,SGP,1999,1118047966.0,
18981,Singapore,SGP,2000,1166442078.0,
18982,Singapore,SGP,2001,1215642290.0,
18983,Singapore,SGP,2002,1262735682.0,
18984,Singapore,SGP,2003,1312174034.0,
18985,Singapore,SGP,2004,1359032930.0,
18986,Singapore,SGP,2005,1395500722.0,
18987,Singapore,SGP,2006,1438545394.0,
18988,Singapore,SGP,2007,1486063810.0,
18989,Singapore,SGP,2008,1543636242.0,
18990,Singapore,SGP,2009,1633734002.0,
18991,Singapore,SGP,2010,1690353794.0,
18992,Singapore,SGP,2011,1720625762.0,
18993,Singapore,SGP,2012,1768770722.0,
18994,Singapore,SGP,2013,1823137154.0,
18995,Singapore,SGP,2014,1878346306.0,
18996,Singapore,SGP,2015,1940476754.0,
18997,Singapore,SGP,2016,1980751442.0,
18998,Singapore,SGP,2017,2019817010.0,
18999,Singapore,SGP,2018,2065818530.0,
19000,Singapore,SGP,2019,2111523824.0,
19001,Singapore,SGP,2020,2157027728.0,
18931,Singapore,SGP,1950,,1913932.0
18932,Singapore,SGP,1951,,2825777.0
18933,Singapore,SGP,1952,,3441306.0
18934,Singapore,SGP,1953,,3481713.0
18935,Singapore,SGP,1954,,3771295.0
18936,Singapore,SGP,1955,,4052795.0
18937,Singapore,SGP,1956,,4095895.0
18938,Singapore,SGP,1957,,1729408.0
18939,Singapore,SGP,1958,,2297328.0
18940,Singapore,SGP,1959,,1799024.0
18941,Singapore,SGP,1960,,1392320.0
18942,Singapore,SGP,1961,,2092144.0
18943,Singapore,SGP,1962,,2513415.0
18944,Singapore,SGP,1963,,3301367.0
18945,Singapore,SGP,1964,,3601712.0
18946,Singapore,SGP,1965,,2425568.0
18947,Singapore,SGP,1966,,478923.0
18948,Singapore,SGP,1967,,2821280.0
18949,Singapore,SGP,1968,,5133455.0
18950,Singapore,SGP,1969,,6888320.0
18951,Singapore,SGP,1970,,17832688.0
18952,Singapore,SGP,1971,,16275421.0
18953,Singapore,SGP,1972,,21720192.0
18954,Singapore,SGP,1973,,20690608.0
18955,Singapore,SGP,1974,,21427072.0
18956,Singapore,SGP,1975,,23863632.0
18957,Singapore,SGP,1976,,29337648.0
18958,Singapore,SGP,1977,,27611904.0
18959,Singapore,SGP,1978,,32463040.0
18960,Singapore,SGP,1979,,35419820.0
18961,Singapore,SGP,1980,,30433184.0
18962,Singapore,SGP,1981,,25706624.0
18963,Singapore,SGP,1982,,28381510.0
18964,Singapore,SGP,1983,,33397360.0
18965,Singapore,SGP,1984,,31968554.0
18966,Singapore,SGP,1985,,32397088.0
18967,Singapore,SGP,1986,,34100848.0
18968,Singapore,SGP,1987,,31810848.0
18969,Singapore,SGP,1988,,35280656.0
18970,Singapore,SGP,1989,,41003824.0
18971,Singapore,SGP,1990,,43535575.0
18972,Singapore,SGP,1991,,44235472.0
18973,Singapore,SGP,1992,,47441472.0
18974,Singapore,SGP,1993,,49661856.0
18975,Singapore,SGP,1994,,60085936.0
18976,Singapore,SGP,1995,,40545824.0
18977,Singapore,SGP,1996,,48012941.0
18978,Singapore,SGP,1997,,56737040.0
18979,Singapore,SGP,1998,,47412160.0
18980,Singapore,SGP,1999,,49200192.0
18981,Singapore,SGP,2000,,48394112.0
18982,Singapore,SGP,2001,,49200212.0
18983,Singapore,SGP,2002,,47093392.0
18984,Singapore,SGP,2003,,49438352.0
18985,Singapore,SGP,2004,,46858896.0
18986,Singapore,SGP,2005,,36467792.0
18987,Singapore,SGP,2006,,43044672.0
18988,Singapore,SGP,2007,,47518416.0
18989,Singapore,SGP,2008,,57572432.0
18990,Singapore,SGP,2009,,90097760.0
18991,Singapore,SGP,2010,,56619792.0
18992,Singapore,SGP,2011,,30271968.0
18993,Singapore,SGP,2012,,48144960.0
18994,Singapore,SGP,2013,,54366432.0
18995,Singapore,SGP,2014,,55209152.0
18996,Singapore,SGP,2015,,62130448.0
18997,Singapore,SGP,2016,,40274688.0
18998,Singapore,SGP,2017,,39065568.0
18999,Singapore,SGP,2018,,46001520.0
19000,Singapore,SGP,2019,,45705294.0
19001,Singapore,SGP,2020,,45503904.0
9975,Hong Kong,HKG,1938,54514.0,
9976,Hong Kong,HKG,1939,109028.0,
9977,Hong Kong,HKG,1941,163542.0,
9978,Hong Kong,HKG,1947,181713.0,
9979,Hong Kong,HKG,1948,207153.0,
9980,Hong Kong,HKG,1949,236227.0,
9981,Hong Kong,HKG,1950,1555000.0,
9982,Hong Kong,HKG,1951,3111903.0,
9983,Hong Kong,HKG,1952,4646852.0,
9984,Hong Kong,HKG,1953,6375992.0,
9985,Hong Kong,HKG,1954,8174600.0,
9986,Hong Kong,HKG,1955,10053757.0,
9987,Hong Kong,HKG,1956,12174738.0,
9988,Hong Kong,HKG,1957,14537603.0,
9989,Hong Kong,HKG,1958,16911251.0,
9990,Hong Kong,HKG,1959,19614718.0,
9991,Hong Kong,HKG,1960,22567307.0,
9992,Hong Kong,HKG,1961,25937444.0,
9993,Hong Kong,HKG,1962,29618902.0,
9994,Hong Kong,HKG,1963,33864587.0,
9995,Hong Kong,HKG,1964,38084653.0,
9996,Hong Kong,HKG,1965,42887176.0,
9997,Hong Kong,HKG,1966,48048742.0,
9998,Hong Kong,HKG,1967,54100808.0,
9999,Hong Kong,HKG,1968,60298780.0,
10000,Hong Kong,HKG,1969,68050288.0,
10001,Hong Kong,HKG,1970,76442788.0,
10002,Hong Kong,HKG,1971,85593379.0,
10003,Hong Kong,HKG,1972,94868964.0,
10004,Hong Kong,HKG,1973,104155421.0,
10005,Hong Kong,HKG,1974,114822671.0,
10006,Hong Kong,HKG,1975,125830672.0,
10007,Hong Kong,HKG,1976,138321056.0,
10008,Hong Kong,HKG,1977,152524960.0,
10009,Hong Kong,HKG,1978,168239056.0,
10010,Hong Kong,HKG,1979,184076703.0,
10011,Hong Kong,HKG,1980,200676919.0,
10012,Hong Kong,HKG,1981,219293575.0,
10013,Hong Kong,HKG,1982,238916342.0,
10014,Hong Kong,HKG,1983,259828448.0,
10015,Hong Kong,HKG,1984,282053235.0,
10016,Hong Kong,HKG,1985,304934640.0,
10017,Hong Kong,HKG,1986,330460558.0,
10018,Hong Kong,HKG,1987,358546203.0,
10019,Hong Kong,HKG,1988,387830984.0,
10020,Hong Kong,HKG,1989,417972163.0,
10021,Hong Kong,HKG,1990,445119853.0,
10022,Hong Kong,HKG,1991,473582925.0,
10023,Hong Kong,HKG,1992,506501486.0,
10024,Hong Kong,HKG,1993,541279330.0,
10025,Hong Kong,HKG,1994,572358623.0,
10026,Hong Kong,HKG,1995,603625677.0,
10027,Hong Kong,HKG,1996,632534205.0,
10028,Hong Kong,HKG,1997,663031186.0,
10029,Hong Kong,HKG,1998,701956170.0,
10030,Hong Kong,HKG,1999,744505186.0,
10031,Hong Kong,HKG,2000,784787972.0,
10032,Hong Kong,HKG,2001,822589671.0,
10033,Hong Kong,HKG,2002,862074750.0,
10034,Hong Kong,HKG,2003,905277079.0,
10035,Hong Kong,HKG,2004,946846480.0,
10036,Hong Kong,HKG,2005,990577030.0,
10037,Hong Kong,HKG,2006,1032491838.0,
10038,Hong Kong,HKG,2007,1076064276.0,
10039,Hong Kong,HKG,2008,1118854860.0,
10040,Hong Kong,HKG,2009,1160434260.0,
10041,Hong Kong,HKG,2010,1200497163.0,
10042,Hong Kong,HKG,2011,1243646879.0,
10043,Hong Kong,HKG,2012,1286388941.0,
10044,Hong Kong,HKG,2013,1330695832.0,
10045,Hong Kong,HKG,2014,1376187586.0,
10046,Hong Kong,HKG,2015,1418579657.0,
10047,Hong Kong,HKG,2016,1461968336.0,
10048,Hong Kong,HKG,2017,1504521623.0,
10049,Hong Kong,HKG,2018,1547259632.0,
10050,Hong Kong,HKG,2019,1589049095.0,
10051,Hong Kong,HKG,2020,1620287883.0,
9975,Hong Kong,HKG,1938,,54514.0
9976,Hong Kong,HKG,1939,,54514.0
9977,Hong Kong,HKG,1941,,54514.0
9978,Hong Kong,HKG,1947,,18171.0
9979,Hong Kong,HKG,1948,,25440.0
9980,Hong Kong,HKG,1949,,29074.0
9981,Hong Kong,HKG,1950,,1318773.0
9982,Hong Kong,HKG,1951,,1556903.0
9983,Hong Kong,HKG,1952,,1534949.0
9984,Hong Kong,HKG,1953,,1729140.0
9985,Hong Kong,HKG,1954,,1798608.0
9986,Hong Kong,HKG,1955,,1879157.0
9987,Hong Kong,HKG,1956,,2120981.0
9988,Hong Kong,HKG,1957,,2362865.0
9989,Hong Kong,HKG,1958,,2373648.0
9990,Hong Kong,HKG,1959,,2703467.0
9991,Hong Kong,HKG,1960,,2952589.0
9992,Hong Kong,HKG,1961,,3370137.0
9993,Hong Kong,HKG,1962,,3681458.0
9994,Hong Kong,HKG,1963,,4245685.0
9995,Hong Kong,HKG,1964,,4220066.0
9996,Hong Kong,HKG,1965,,4802523.0
9997,Hong Kong,HKG,1966,,5161566.0
9998,Hong Kong,HKG,1967,,6052066.0
9999,Hong Kong,HKG,1968,,6197972.0
10000,Hong Kong,HKG,1969,,7751508.0
10001,Hong Kong,HKG,1970,,8392500.0
10002,Hong Kong,HKG,1971,,9150591.0
10003,Hong Kong,HKG,1972,,9275585.0
10004,Hong Kong,HKG,1973,,9286457.0
10005,Hong Kong,HKG,1974,,10667250.0
10006,Hong Kong,HKG,1975,,11008001.0
10007,Hong Kong,HKG,1976,,12490384.0
10008,Hong Kong,HKG,1977,,14203904.0
10009,Hong Kong,HKG,1978,,15714096.0
10010,Hong Kong,HKG,1979,,15837647.0
10011,Hong Kong,HKG,1980,,16600216.0
10012,Hong Kong,HKG,1981,,18616656.0
10013,Hong Kong,HKG,1982,,19622767.0
10014,Hong Kong,HKG,1983,,20912106.0
10015,Hong Kong,HKG,1984,,22224787.0
10016,Hong Kong,HKG,1985,,22881405.0
10017,Hong Kong,HKG,1986,,25525918.0
10018,Hong Kong,HKG,1987,,28085645.0
10019,Hong Kong,HKG,1988,,29284781.0
10020,Hong Kong,HKG,1989,,30141179.0
10021,Hong Kong,HKG,1990,,27147690.0
10022,Hong Kong,HKG,1991,,28463072.0
10023,Hong Kong,HKG,1992,,32918561.0
10024,Hong Kong,HKG,1993,,34777844.0
10025,Hong Kong,HKG,1994,,31079293.0
10026,Hong Kong,HKG,1995,,31267054.0
10027,Hong Kong,HKG,1996,,28908528.0
10028,Hong Kong,HKG,1997,,30496981.0
10029,Hong Kong,HKG,1998,,38924984.0
10030,Hong Kong,HKG,1999,,42549016.0
10031,Hong Kong,HKG,2000,,40282786.0
10032,Hong Kong,HKG,2001,,37801699.0
10033,Hong Kong,HKG,2002,,39485079.0
10034,Hong Kong,HKG,2003,,43202329.0
10035,Hong Kong,HKG,2004,,41569401.0
10036,Hong Kong,HKG,2005,,43730550.0
10037,Hong Kong,HKG,2006,,41914808.0
10038,Hong Kong,HKG,2007,,43572438.0
10039,Hong Kong,HKG,2008,,42790584.0
10040,Hong Kong,HKG,2009,,41579400.0
10041,Hong Kong,HKG,2010,,40062903.0
10042,Hong Kong,HKG,2011,,43149716.0
10043,Hong Kong,HKG,2012,,42742062.0
10044,Hong Kong,HKG,2013,,44306891.0
10045,Hong Kong,HKG,2014,,45491754.0
10046,Hong Kong,HKG,2015,,42392071.0
10047,Hong Kong,HKG,2016,,43388679.0
10048,Hong Kong,HKG,2017,,42553287.0
10049,Hong Kong,HKG,2018,,42738009.0
10050,Hong Kong,HKG,2019,,41789463.0
10051,Hong Kong,HKG,2020,,31238788.0
