type_of_car,choice_of_car,reason,safety,road_accidents_witnessed,comfortable,count,type,satisfaction,smoothness,noise_level
petrol,petrol,Charging Time ,Yes,1,Yes,1,petrol,6.2,6.3,2
petrol,petrol,Charging Time ,Yes,1,Yes,1,petrol,6.1,6.7,2.3
petrol,petrol,Charging Time ,Yes,1,Yes,1,petrol,5.7,6.3,2.3
petrol,petrol,Charging Time ,Yes,1,Yes,1,petrol,6.8,6.1,2.2
petrol,petrol,Charging Time ,Yes,1,Yes,1,petrol,3.4,6.2,2.4
petrol,petrol,Limited Charging Areas,Yes,2,Yes,1,petrol,4.5,6.8,2.6
petrol,petrol,Charging Time ,Yes,2,Yes,1,petrol,2.1,6.9,2.7
petrol,petrol,Charging Time ,Yes,2,Yes,1,petrol,1.2,6.5,2.9
petrol,petrol,Charging Time ,Yes,1,Yes,1,petrol,6.5,6,2.8
petrol,petrol,Charging Time ,Yes,2,Yes,1,electric,9.3,8,2.1
petrol,petrol,Charging Time ,Yes,2,Yes,1,petrol,7.2,5.3,2.4
petrol,petrol,Charging Time ,Yes,2,Yes,1,petrol,8.3,8,2.6
petrol,petrol,Price,Yes,1,Yes,1,petrol,7.4,6.3,2.7
petrol,petrol,Limited Charging Areas,Yes,3,Yes,1,petrol,6.2,6.8,2.8
petrol,petrol,Limited Charging Areas,Yes,1,Yes,1,petrol,6,6,2.3
petrol,petrol,Limited Charging Areas,Yes,1,Yes,1,petrol,6,6,2.4
petrol,petrol,Limited Charging Areas,Yes,3,Yes,1,petrol,5,6,2.5
petrol,petrol,Limited Charging Areas,Yes,3,Yes,1,petrol,4.1,7.3,2.9
petrol,petrol,Limited Charging Areas,Yes,3,Yes,1,petrol,2.3,7.2,2.7
petrol,petrol,Limited Charging Areas,Yes,2,Yes,1,petrol,1.8,7.9,2.9
petrol,petrol,Limited Charging Areas,Yes,1,Yes,1,petrol,6.7,7.5,2
petrol,petrol,Limited Charging Areas,Yes,3,Yes,1,petrol,6.8,6.3,2
petrol,petrol,Limited Charging Areas,Yes,1,Yes,1,petrol,7.3,8,2
petrol,petrol,Limited Charging Areas,Yes,2,Yes,1,petrol,6.2,7.2,3.3
