,Entity,Code,Year,energy
3120,Singapore,SGP,2000,37.951
3121,Singapore,SGP,2001,37.502
3122,Singapore,SGP,2002,37.253
3123,Singapore,SGP,2003,37.029
3124,Singapore,SGP,2004,36.603
3125,Singapore,SGP,2005,35.844
3126,Singapore,SGP,2006,34.732
3127,Singapore,SGP,2007,33.394
3128,Singapore,SGP,2008,32.074
3129,Singapore,SGP,2009,26.155
3130,Singapore,SGP,2010,25.589
3131,Singapore,SGP,2011,25.268
3132,Singapore,SGP,2012,25.347
3133,Singapore,SGP,2013,31.575
3134,Singapore,SGP,2014,37.772
3135,Singapore,SGP,2015,44.906
3136,Singapore,SGP,2016,54.305
3137,Singapore,SGP,2017,57.712
3138,Singapore,SGP,2018,64.572
3139,Singapore,SGP,2019,80.418
